ID,Education
0,10th Pass
1,12th Pass
2,Graduate
3,12th Pass
4,Post Graduate
5,Post Graduate
6,Graduate
7,Post Graduate
8,Graduate
9,Post Graduate
10,10th Pass
11,Graduate Professional
12,12th Pass
13,Post Graduate
14,10th Pass
15,Graduate Professional
16,Post Graduate
17,Graduate Professional
18,Post Graduate
19,Post Graduate
20,Graduate
21,Post Graduate
22,Post Graduate
23,Graduate
24,10th Pass
25,12th Pass
26,Post Graduate
27,Graduate
28,Graduate
29,Post Graduate
30,10th Pass
31,Post Graduate
32,10th Pass
33,Graduate Professional
34,12th Pass
35,Post Graduate
36,Post Graduate
37,Graduate
38,10th Pass
39,Graduate
40,Post Graduate
41,Post Graduate
42,Post Graduate
43,Post Graduate
44,Post Graduate
45,Graduate
46,10th Pass
47,12th Pass
48,Post Graduate
49,Graduate
50,Graduate Professional
51,Graduate Professional
52,Post Graduate
53,12th Pass
54,12th Pass
55,Graduate
56,Post Graduate
57,Graduate
58,Post Graduate
59,12th Pass
60,Graduate
61,Graduate
62,Graduate
63,Graduate
64,Graduate
65,Graduate
66,Graduate Professional
67,Post Graduate
68,Graduate
69,Post Graduate
70,Graduate
71,Post Graduate
72,Graduate Professional
73,Graduate
74,Post Graduate
75,Graduate
76,12th Pass
77,Graduate
78,Graduate
79,Graduate Professional
80,10th Pass
81,Post Graduate
82,Post Graduate
83,Graduate
84,Post Graduate
85,Post Graduate
86,Graduate
87,Graduate Professional
88,Graduate
89,Post Graduate
90,Graduate
91,Post Graduate
92,12th Pass
93,10th Pass
94,Graduate
95,Post Graduate
96,Graduate
97,Post Graduate
98,Post Graduate
99,Graduate
100,12th Pass
101,12th Pass
102,Post Graduate
103,Graduate
104,Graduate
105,10th Pass
106,Post Graduate
107,10th Pass
108,Graduate
109,10th Pass
110,12th Pass
111,12th Pass
112,12th Pass
113,Post Graduate
114,Graduate
115,Post Graduate
116,Graduate
117,10th Pass
118,Graduate Professional
119,12th Pass
120,Graduate
121,Graduate
122,12th Pass
123,Graduate
124,10th Pass
125,Graduate
126,12th Pass
127,12th Pass
128,Post Graduate
129,Graduate
130,Graduate Professional
131,Graduate
132,12th Pass
133,Graduate
134,Graduate
135,Post Graduate
136,Graduate
137,Graduate
138,Post Graduate
139,Graduate Professional
140,Graduate Professional
141,Post Graduate
142,Graduate
143,Post Graduate
144,12th Pass
145,Graduate
146,Graduate Professional
147,Post Graduate
148,Graduate
149,Graduate Professional
150,Graduate Professional
151,Graduate
152,Graduate
153,Graduate
154,Graduate
155,Post Graduate
156,Graduate
157,Graduate
158,Graduate
159,Graduate
160,Graduate Professional
161,Graduate
162,12th Pass
163,Graduate
164,Graduate Professional
165,Graduate Professional
166,12th Pass
167,12th Pass
168,Post Graduate
169,Graduate
170,Post Graduate
171,Post Graduate
172,Graduate Professional
173,Graduate
174,Graduate
175,Graduate
176,Post Graduate
177,Graduate
178,Post Graduate
179,Post Graduate
180,Post Graduate
181,12th Pass
182,Graduate
183,Graduate
184,Graduate
185,Post Graduate
186,Graduate
187,10th Pass
188,Graduate
189,Graduate
190,Post Graduate
191,Graduate
192,Graduate
193,Post Graduate
194,Graduate Professional
195,12th Pass
196,Post Graduate
197,Graduate
198,12th Pass
199,10th Pass
200,Graduate
201,Post Graduate
202,Graduate
203,Post Graduate
204,Graduate
205,Graduate
206,Post Graduate
207,Graduate
208,Graduate
209,12th Pass
210,Graduate
211,Graduate
212,12th Pass
213,Graduate
214,10th Pass
215,Post Graduate
216,Graduate Professional
217,Post Graduate
218,Graduate
219,Graduate
220,12th Pass
221,Graduate
222,Graduate Professional
223,Graduate
224,Graduate Professional
225,Graduate
226,12th Pass
227,Post Graduate
228,12th Pass
229,Graduate
230,Graduate
231,Graduate
232,Graduate
233,Graduate
234,Graduate
235,Post Graduate
236,Post Graduate
237,12th Pass
238,Graduate
239,Graduate
240,Graduate
241,Post Graduate
242,Post Graduate
243,12th Pass
244,Graduate Professional
245,Post Graduate
246,Post Graduate
247,Post Graduate
248,Graduate
249,Post Graduate
250,Post Graduate
251,Graduate Professional
252,Graduate
253,Post Graduate
254,12th Pass
255,12th Pass
256,Graduate
257,Graduate
258,Post Graduate
259,Graduate Professional
260,Post Graduate
261,12th Pass
262,Graduate Professional
263,Post Graduate
264,12th Pass
265,Post Graduate
266,Graduate
267,Graduate
268,Post Graduate
269,Graduate
270,Post Graduate
271,Post Graduate
272,Graduate
273,Post Graduate
274,Graduate
275,12th Pass
276,Graduate
277,Post Graduate
278,Graduate
279,Graduate
280,12th Pass
281,10th Pass
282,Graduate
283,Graduate
284,Graduate
285,Graduate
286,Graduate
287,Graduate Professional
288,Post Graduate
289,10th Pass
290,Graduate
291,Post Graduate
292,Graduate
293,Graduate
294,12th Pass
295,Graduate Professional
296,12th Pass
297,Graduate Professional
298,Post Graduate
299,Post Graduate
300,Graduate
301,Graduate
302,Graduate
303,Post Graduate
304,Graduate
305,Graduate Professional
306,Graduate Professional
307,Post Graduate
308,10th Pass
309,Graduate
310,Graduate
311,Graduate Professional
312,10th Pass
313,Post Graduate
314,Graduate
315,Post Graduate
316,12th Pass
317,10th Pass
318,Post Graduate
319,Graduate
320,Post Graduate
321,Graduate Professional
322,Graduate Professional
323,Graduate
324,Graduate
325,12th Pass
326,Graduate
327,Graduate
328,Graduate
329,Post Graduate
330,12th Pass
331,10th Pass
332,Post Graduate
333,Post Graduate
334,Graduate
335,10th Pass
336,Graduate Professional
337,Graduate
338,12th Pass
339,Graduate
340,Graduate Professional
341,Post Graduate
342,12th Pass
343,Graduate
344,Graduate
345,12th Pass
346,Post Graduate
347,Graduate
348,Graduate Professional
349,Graduate
350,Graduate Professional
351,Graduate Professional
352,Graduate
353,Graduate
354,Graduate
355,12th Pass
356,Post Graduate
357,Graduate
358,Post Graduate
359,Graduate
360,Graduate
361,10th Pass
362,Graduate
363,Post Graduate
364,Graduate
365,Post Graduate
366,10th Pass
367,Post Graduate
368,12th Pass
369,Graduate
370,10th Pass
371,Graduate
372,Post Graduate
373,Post Graduate
374,12th Pass
375,Post Graduate
376,Graduate
377,10th Pass
378,Post Graduate
379,10th Pass
380,Graduate
381,Graduate
382,12th Pass
383,Graduate
384,Graduate
385,Graduate
386,10th Pass
387,Graduate
388,Post Graduate
389,Graduate
390,Graduate
391,Graduate
392,Post Graduate
393,12th Pass
394,Post Graduate
395,Graduate
396,12th Pass
397,Graduate
398,Graduate Professional
399,Post Graduate
400,Post Graduate
401,Graduate Professional
402,Post Graduate
403,Graduate
404,Graduate
405,Post Graduate
406,Graduate
407,10th Pass
408,Post Graduate
409,Graduate
410,Graduate
411,12th Pass
412,Graduate
413,Post Graduate
414,Graduate Professional
415,Graduate Professional
416,Graduate
417,Graduate Professional
418,Post Graduate
419,Graduate
420,Post Graduate
421,Graduate Professional
422,10th Pass
423,Post Graduate
424,Graduate
425,Post Graduate
426,Graduate
427,Post Graduate
428,Graduate Professional
429,Graduate
430,Post Graduate
431,Post Graduate
432,Graduate
433,Graduate
434,Post Graduate
435,Graduate
436,Post Graduate
437,Graduate
438,Graduate
439,Post Graduate
440,Post Graduate
441,Graduate
442,Graduate
443,Post Graduate
444,Graduate Professional
445,Post Graduate
446,Graduate
447,Graduate
448,Graduate
449,Post Graduate
450,12th Pass
451,Post Graduate
452,Post Graduate
453,Post Graduate
454,Post Graduate
455,Post Graduate
456,Graduate
457,Graduate Professional
458,12th Pass
459,Post Graduate
460,Graduate Professional
461,Post Graduate
462,Post Graduate
463,10th Pass
464,Graduate
465,Graduate
466,Post Graduate
467,Graduate
468,Graduate
469,Post Graduate
470,Post Graduate
471,Post Graduate
472,Graduate Professional
473,Graduate Professional
474,Graduate
475,Post Graduate
476,Graduate
477,12th Pass
478,Graduate
479,Graduate Professional
480,Graduate
481,Post Graduate
482,Graduate
483,Post Graduate
484,Graduate
485,Graduate Professional
486,Graduate
487,Graduate
488,Graduate
489,Post Graduate
490,12th Pass
491,Graduate Professional
492,Post Graduate
493,10th Pass
494,Graduate
495,Graduate
496,Graduate
497,Post Graduate
498,Graduate
499,10th Pass
500,Post Graduate
501,Graduate
502,Graduate
503,Graduate
504,Graduate
505,12th Pass
506,12th Pass
507,Graduate
508,Graduate Professional
509,12th Pass
510,Post Graduate
511,Graduate
512,Graduate Professional
513,Post Graduate
514,10th Pass
515,Graduate
516,Post Graduate
