ID,Education
0,12th Pass
1,Post Graduate
2,Graduate
3,Post Graduate
4,Graduate
5,Post Graduate
6,Graduate
7,Post Graduate
8,Graduate
9,Post Graduate
10,Graduate
11,Graduate
12,Post Graduate
13,Post Graduate
14,Graduate
15,Graduate Professional
16,Graduate
17,Post Graduate
18,Post Graduate
19,Graduate
20,Graduate
21,Graduate
22,Graduate
23,Graduate
24,Graduate
25,Post Graduate
26,Graduate
27,Graduate
28,Graduate
29,Post Graduate
30,Graduate
31,Post Graduate
32,12th Pass
33,Graduate
34,Post Graduate
35,Graduate
36,Post Graduate
37,Graduate
38,Graduate
39,Graduate
40,Post Graduate
41,Graduate
42,Graduate Professional
43,Post Graduate
44,Post Graduate
45,Graduate
46,Graduate
47,Post Graduate
48,Post Graduate
49,Graduate
50,Graduate Professional
51,Graduate
52,Graduate
53,Graduate Professional
54,Post Graduate
55,Graduate
56,Graduate
57,Graduate
58,Graduate
59,Post Graduate
60,Graduate
61,Post Graduate
62,Post Graduate
63,Graduate
64,Graduate
65,Graduate
66,Graduate Professional
67,Graduate
68,Graduate
69,10th Pass
70,Graduate
71,10th Pass
72,Graduate
73,Graduate
74,Graduate
75,Graduate
76,Graduate Professional
77,Graduate
78,10th Pass
79,12th Pass
80,Graduate
81,Graduate
82,12th Pass
83,10th Pass
84,12th Pass
85,12th Pass
86,12th Pass
87,Graduate Professional
88,Graduate
89,10th Pass
90,Graduate
91,12th Pass
92,12th Pass
93,Graduate
94,12th Pass
95,Graduate
96,Graduate Professional
97,Graduate
98,Graduate
99,Graduate
100,12th Pass
101,Graduate Professional
102,Graduate
103,Graduate
104,Graduate
105,Graduate Professional
106,Graduate Professional
107,Graduate Professional
108,Graduate
109,Graduate
110,10th Pass
111,10th Pass
112,Graduate
113,10th Pass
114,Graduate
115,Graduate
116,Graduate Professional
117,Graduate
118,Graduate Professional
119,Post Graduate
120,Graduate
121,Graduate
122,Post Graduate
123,Graduate
124,Graduate
125,10th Pass
126,Post Graduate
127,Post Graduate
128,Post Graduate
129,Graduate
130,Graduate Professional
131,12th Pass
132,10th Pass
133,12th Pass
134,Graduate
135,Post Graduate
136,Graduate
137,Graduate
138,Graduate
139,Graduate
140,Graduate
141,Graduate
142,Graduate
143,Post Graduate
144,Graduate Professional
145,Graduate
146,Post Graduate
147,Graduate
148,10th Pass
149,Graduate Professional
150,Graduate Professional
151,Graduate
152,Graduate
153,Graduate
154,Post Graduate
155,Graduate
156,Graduate
157,Graduate
158,Graduate
159,12th Pass
160,12th Pass
161,Post Graduate
162,12th Pass
163,Graduate
164,Graduate
165,Graduate
166,12th Pass
167,Post Graduate
168,Graduate Professional
169,Graduate
170,10th Pass
171,Post Graduate
172,12th Pass
173,Graduate
174,Graduate
175,12th Pass
176,Post Graduate
177,Graduate
178,Graduate
179,Graduate Professional
180,Post Graduate
181,Post Graduate
182,Graduate
183,Graduate
184,Graduate
185,Graduate Professional
186,Graduate
187,10th Pass
188,Graduate
189,Post Graduate
190,Graduate
191,10th Pass
192,Graduate
193,Post Graduate
194,Graduate Professional
195,12th Pass
196,Post Graduate
197,Graduate
198,Post Graduate
199,Graduate
200,Graduate Professional
201,Post Graduate
202,Graduate
203,Post Graduate
204,Graduate
205,Graduate
206,Graduate
207,Graduate
208,Post Graduate
209,Post Graduate
210,Post Graduate
211,12th Pass
212,Graduate
213,Graduate
214,Graduate
215,Post Graduate
216,Post Graduate
217,Post Graduate
218,Graduate
219,Post Graduate
220,12th Pass
221,Graduate
222,10th Pass
223,Graduate
224,Graduate
225,Graduate
226,Graduate
227,Graduate Professional
228,Graduate Professional
229,Graduate
230,12th Pass
231,Graduate
232,Graduate
233,Graduate Professional
234,Graduate
235,Post Graduate
236,Post Graduate
237,12th Pass
238,10th Pass
239,Graduate
240,Post Graduate
241,Post Graduate
242,Graduate
243,Graduate
244,Graduate
245,Graduate
246,Graduate
247,Post Graduate
248,Post Graduate
249,Graduate
250,Graduate
251,12th Pass
252,Post Graduate
253,Post Graduate
254,12th Pass
255,12th Pass
256,Graduate
257,12th Pass
258,Post Graduate
259,10th Pass
260,Post Graduate
