ID,Education
0,10th Pass
1,Post Graduate
2,12th Pass
3,Post Graduate
4,Post Graduate
5,12th Pass
6,10th Pass
7,10th Pass
8,12th Pass
9,Post Graduate
10,Literate
11,Graduate
12,10th Pass
13,Post Graduate
14,Graduate
15,Post Graduate
16,Post Graduate
17,Post Graduate
18,8th Pass
19,5th Pass
20,Graduate
21,5th Pass
22,Post Graduate
23,Graduate
24,12th Pass
25,12th Pass
26,12th Pass
27,Graduate
28,10th Pass
29,Graduate Professional
30,10th Pass
31,Post Graduate
32,Graduate
33,10th Pass
34,10th Pass
35,Post Graduate
36,Post Graduate
37,Post Graduate
38,10th Pass
39,Graduate
40,Post Graduate
41,Graduate
42,Post Graduate
43,Graduate
44,Post Graduate
45,12th Pass
46,10th Pass
47,10th Pass
48,Graduate Professional
49,Post Graduate
50,Graduate Professional
51,Graduate Professional
52,Graduate
53,10th Pass
54,Post Graduate
55,Graduate
56,12th Pass
57,12th Pass
58,Graduate
59,Graduate
60,Graduate
61,Post Graduate
62,Graduate
63,Graduate
64,Graduate Professional
65,Post Graduate
66,12th Pass
67,12th Pass
68,5th Pass
69,12th Pass
70,Graduate
71,Post Graduate
72,10th Pass
73,Graduate
74,Post Graduate
75,Others
76,Post Graduate
77,Graduate
78,Graduate
79,Graduate Professional
80,5th Pass
81,Post Graduate
82,Post Graduate
83,Graduate
84,Post Graduate
85,Post Graduate
86,Graduate
87,Graduate
88,Graduate
89,Graduate
90,12th Pass
91,Graduate Professional
92,12th Pass
93,Graduate
94,Graduate
95,Graduate
96,8th Pass
97,Post Graduate
98,Graduate
99,Graduate
100,Graduate Professional
101,Post Graduate
102,Post Graduate
103,12th Pass
104,12th Pass
105,10th Pass
106,Post Graduate
107,Literate
108,Graduate
109,Graduate Professional
110,10th Pass
111,12th Pass
112,Post Graduate
113,Post Graduate
114,Graduate
115,Post Graduate
116,Graduate
117,10th Pass
118,Post Graduate
119,Graduate
120,12th Pass
121,12th Pass
122,12th Pass
123,Graduate Professional
124,Graduate
125,Literate
126,Graduate
127,12th Pass
128,Literate
129,Post Graduate
130,Graduate Professional
131,10th Pass
132,Graduate
133,Graduate
134,Others
135,Post Graduate
136,Post Graduate
137,Graduate
138,Graduate
139,Graduate Professional
140,Graduate Professional
141,12th Pass
142,Graduate
143,Post Graduate
144,Post Graduate
145,Graduate Professional
146,Post Graduate
147,Post Graduate
148,10th Pass
149,Graduate Professional
150,Graduate
151,Graduate
152,Post Graduate
153,Graduate
154,12th Pass
155,Post Graduate
156,Post Graduate
157,10th Pass
158,Graduate Professional
159,Graduate
160,Graduate
161,Graduate
162,Graduate Professional
163,Graduate
164,Graduate Professional
165,Graduate Professional
166,Graduate Professional
167,12th Pass
168,Post Graduate
169,Post Graduate
170,Post Graduate
171,Graduate
172,10th Pass
173,Graduate
174,8th Pass
175,12th Pass
176,Graduate
177,Doctorate
178,Post Graduate
179,Graduate
180,Graduate Professional
181,12th Pass
182,Post Graduate
183,Graduate
184,Graduate
185,Post Graduate
186,12th Pass
187,Literate
188,Graduate
189,Graduate
190,Graduate Professional
191,Graduate
192,Graduate Professional
193,Literate
194,Post Graduate
195,12th Pass
196,Post Graduate
197,10th Pass
198,Doctorate
199,10th Pass
200,10th Pass
201,Post Graduate
202,Post Graduate
203,12th Pass
204,12th Pass
205,Graduate
206,Post Graduate
207,8th Pass
208,Others
209,Graduate
210,Graduate
211,Graduate
212,Post Graduate
213,Graduate
214,Others
215,Post Graduate
216,Post Graduate
217,Graduate
218,Graduate
219,Graduate
220,12th Pass
221,Others
222,Graduate Professional
223,Graduate
224,Post Graduate
225,Post Graduate
226,Doctorate
227,Post Graduate
228,Post Graduate
229,Others
230,10th Pass
231,Graduate
232,12th Pass
233,12th Pass
234,Graduate
235,Graduate
236,12th Pass
237,12th Pass
238,Graduate
239,Graduate Professional
240,Graduate Professional
241,10th Pass
242,12th Pass
243,Graduate
244,12th Pass
245,Graduate
246,Graduate
247,Post Graduate
248,12th Pass
249,10th Pass
250,Literate
251,Graduate Professional
252,Graduate
253,12th Pass
254,Graduate
255,12th Pass
256,Graduate Professional
257,Graduate
258,Post Graduate
259,8th Pass
260,12th Pass
261,Graduate
262,Graduate Professional
263,Graduate
264,12th Pass
265,Post Graduate
266,10th Pass
267,Graduate
268,8th Pass
269,12th Pass
270,Post Graduate
271,Others
272,12th Pass
273,Others
274,Others
275,12th Pass
276,Doctorate
277,Post Graduate
278,Post Graduate
279,12th Pass
280,10th Pass
281,10th Pass
282,Graduate
283,Post Graduate
284,Graduate
285,Graduate
286,Post Graduate
287,10th Pass
288,12th Pass
289,Graduate Professional
290,Graduate
291,Post Graduate
292,Graduate
293,Graduate
294,Graduate
295,Post Graduate
296,12th Pass
297,Post Graduate
298,8th Pass
299,10th Pass
300,Graduate
301,Graduate
302,10th Pass
303,12th Pass
304,Graduate Professional
305,12th Pass
306,10th Pass
307,12th Pass
308,Graduate
309,Graduate
310,Graduate Professional
311,Graduate Professional
312,10th Pass
313,Graduate Professional
314,Graduate
315,Graduate Professional
316,12th Pass
317,Post Graduate
318,Graduate
319,Graduate Professional
320,12th Pass
321,Graduate Professional
322,Graduate Professional
323,Graduate Professional
324,8th Pass
325,Post Graduate
326,Others
327,Graduate
328,10th Pass
329,Post Graduate
330,12th Pass
331,Literate
332,Graduate
333,Post Graduate
334,Graduate
335,12th Pass
336,10th Pass
337,Post Graduate
338,Graduate
339,Literate
340,Post Graduate
341,Graduate
342,10th Pass
343,10th Pass
344,Graduate
345,12th Pass
346,Graduate Professional
347,Graduate
348,Post Graduate
349,Graduate
350,Graduate Professional
351,Post Graduate
352,Graduate Professional
353,Graduate
354,Post Graduate
355,12th Pass
356,Post Graduate
357,Post Graduate
358,Post Graduate
359,12th Pass
360,Graduate
361,Literate
362,Graduate
363,Post Graduate
364,Graduate
365,Post Graduate
366,Literate
367,12th Pass
368,8th Pass
369,Graduate
370,Graduate
371,Others
372,10th Pass
373,10th Pass
374,Post Graduate
375,Post Graduate
376,10th Pass
377,10th Pass
378,Graduate
379,Graduate
380,Post Graduate
381,Graduate
382,12th Pass
383,12th Pass
384,Graduate
385,10th Pass
386,Literate
387,10th Pass
388,Graduate Professional
389,Graduate
390,12th Pass
391,Graduate
392,Post Graduate
393,Doctorate
394,Post Graduate
395,10th Pass
396,12th Pass
397,Graduate Professional
398,Graduate Professional
399,Post Graduate
400,Post Graduate
401,10th Pass
402,Post Graduate
403,Post Graduate
404,12th Pass
405,12th Pass
406,Graduate Professional
407,5th Pass
408,Post Graduate
409,5th Pass
410,Graduate Professional
411,12th Pass
412,8th Pass
413,Post Graduate
414,Graduate
415,10th Pass
416,10th Pass
417,Graduate Professional
418,Post Graduate
419,Graduate
420,12th Pass
421,Graduate Professional
422,Graduate Professional
423,Graduate
424,Post Graduate
425,Post Graduate
426,12th Pass
427,Graduate
428,Post Graduate
429,Graduate Professional
430,Post Graduate
431,10th Pass
432,Post Graduate
433,Graduate
434,Post Graduate
435,12th Pass
436,Graduate
437,Post Graduate
438,Graduate
439,10th Pass
440,Graduate
441,10th Pass
442,Graduate Professional
443,12th Pass
444,Graduate Professional
445,Graduate
446,Graduate
447,10th Pass
448,Post Graduate
449,Graduate
450,12th Pass
451,Post Graduate
452,12th Pass
453,8th Pass
454,Graduate
455,Post Graduate
456,10th Pass
457,Graduate Professional
458,Graduate
459,Post Graduate
460,Graduate
461,Graduate Professional
462,Graduate Professional
463,10th Pass
464,12th Pass
465,Literate
466,Post Graduate
467,Graduate
468,10th Pass
469,10th Pass
470,Post Graduate
471,Post Graduate
472,Graduate Professional
473,Graduate Professional
474,Post Graduate
475,10th Pass
476,12th Pass
477,Graduate
478,12th Pass
479,Graduate Professional
480,Graduate
481,Graduate
482,12th Pass
483,12th Pass
484,Graduate
485,Others
486,12th Pass
487,12th Pass
488,Graduate
489,Post Graduate
490,12th Pass
491,Graduate Professional
492,Post Graduate
493,12th Pass
494,Graduate
495,12th Pass
496,10th Pass
497,Post Graduate
498,Graduate
499,Graduate
500,Post Graduate
501,Post Graduate
502,Graduate
503,Graduate
504,Post Graduate
505,Graduate
506,Graduate Professional
507,12th Pass
508,Graduate
509,12th Pass
510,Post Graduate
511,Graduate
512,Post Graduate
513,Post Graduate
514,Literate
515,Graduate
516,Post Graduate
517,Graduate
518,12th Pass
519,10th Pass
520,Post Graduate
521,Post Graduate
522,Post Graduate
523,Post Graduate
524,12th Pass
525,Graduate
526,Post Graduate
527,Graduate
528,12th Pass
529,Graduate
530,Post Graduate
531,Graduate Professional
532,Graduate
533,Post Graduate
534,Doctorate
535,Post Graduate
536,Graduate
537,Graduate
538,Graduate Professional
539,12th Pass
540,Graduate
541,Post Graduate
542,10th Pass
543,Graduate
544,Graduate
545,Graduate
546,Post Graduate
547,Literate
548,Graduate
549,Graduate
550,Graduate
551,Graduate
552,Post Graduate
553,Graduate
554,Graduate
555,Post Graduate
556,Graduate
557,Graduate
558,12th Pass
559,Post Graduate
560,Graduate Professional
561,Post Graduate
562,Others
563,12th Pass
564,Graduate
565,12th Pass
566,Graduate
567,Doctorate
568,12th Pass
569,Graduate
570,Graduate
571,Graduate Professional
572,12th Pass
573,10th Pass
574,Others
575,Graduate
576,Post Graduate
577,Graduate
578,12th Pass
579,10th Pass
580,Post Graduate
581,Graduate Professional
582,Graduate
583,Graduate Professional
584,Doctorate
585,Post Graduate
586,Post Graduate
587,12th Pass
588,8th Pass
589,8th Pass
590,Graduate
591,Graduate
592,12th Pass
593,Graduate Professional
594,Graduate
595,Post Graduate
596,Post Graduate
597,Graduate Professional
598,10th Pass
599,12th Pass
600,Graduate
601,12th Pass
602,Post Graduate
603,Graduate
604,Graduate
605,Post Graduate
606,Graduate
607,12th Pass
608,12th Pass
609,Graduate
610,Post Graduate
611,Graduate
612,Graduate
613,12th Pass
614,Graduate
615,Graduate Professional
616,5th Pass
617,Post Graduate
618,12th Pass
619,Graduate
620,8th Pass
621,Graduate Professional
622,Graduate
623,Graduate
624,Doctorate
625,Graduate
626,10th Pass
627,Post Graduate
628,Post Graduate
629,12th Pass
630,Post Graduate
631,Graduate
632,Graduate
633,Graduate
634,Graduate
635,Graduate
636,Post Graduate
637,Post Graduate
638,Graduate
639,Post Graduate
640,Post Graduate
641,Post Graduate
642,10th Pass
643,Others
644,5th Pass
645,Graduate Professional
646,Graduate
647,10th Pass
648,Graduate
649,12th Pass
650,12th Pass
651,Graduate Professional
652,Graduate
653,Doctorate
654,Graduate
655,12th Pass
656,10th Pass
657,Graduate
658,Post Graduate
659,Graduate Professional
660,10th Pass
661,Graduate Professional
662,Post Graduate
663,Graduate
664,10th Pass
665,10th Pass
666,Post Graduate
667,8th Pass
668,12th Pass
669,Post Graduate
670,12th Pass
671,Graduate
672,12th Pass
673,Post Graduate
674,Graduate Professional
675,Graduate
676,Post Graduate
677,Post Graduate
678,10th Pass
679,12th Pass
680,10th Pass
681,Graduate Professional
682,Graduate
683,Graduate
684,Doctorate
685,Graduate
686,Graduate
687,Graduate Professional
688,Literate
689,Graduate
690,Post Graduate
691,Post Graduate
692,Graduate Professional
693,12th Pass
694,Graduate
695,Graduate Professional
696,Post Graduate
697,Post Graduate
698,10th Pass
699,10th Pass
700,Post Graduate
701,Graduate Professional
702,Graduate
703,10th Pass
704,Post Graduate
705,Graduate
706,8th Pass
707,Post Graduate
708,Graduate
709,Graduate Professional
710,Graduate
711,12th Pass
712,10th Pass
713,12th Pass
